DATE,APPEARANCE,ACCOMPANY,,,,
2016.07.30,새로건설된 인민군 어구종합공장 현지지도,"황병서,박영식,서홍찬",,,,
2016.07.27,천리마건재종합공장 방문,"황병서,박영식,오수용,조용원,마원춘",,,,
2016.07.24,제810군부대 산하 어분사료공장 방문,"황병서,오수용,조용원",,,,
2016.07.20,전략군 화성포병부대들의 탄도로케트 발사훈련 참관,"리만건,리병철,홍승무,김정식",,,,
2016.07.16,인민군 제2기 제6차 군인가족 예술소조 경연당선 군부대들 군인가족예술소조 공연 관람,,,,,
2016.07.14,백두산건축연구원 현지지도,마원춘,,,,
2016.07.12,평성합성가죽공장 현지지도,"박봉주,안정수,박명순",,,,
2016.07.08,금수산태양궁전 참배,,,,,
2016.07.06,평양자라공장 현지지도,"조용원,한광상",,,,
2016.07.03,새로 건설된 평양중등학원 방문,"조용원,마원춘",,,,
2016.07.01,쿠바특사일행 접견,,,,,
2016.06.30,최고인민회의 제 13기 제4차회의 참석,"김영남,황병서,박봉주,최룡해,김기남,리명수,박영식,양형섭,리수용,김평해,리만건,오수용,곽범기,김영철,김원홍,최부일,로두철,리용호,임철웅,김수길,박태성,김능오,조연준,리병철,노광철,김영대",,,,
2016.06.29,지대지 중장거리 미사일 《화성-10》 시험발사성공에 기여한 성원들과 기념촬영,,,,,
2016.06.23,지대지 중장거리 미사일 시험발사 현지지도,,,,,
2016.06.21,김정숙평양제사공장 현지지도,"안정수,조용원",,,,
2016.06.16,평양곡산공장 현지지도,"안정수,조용원,신만균",,,,
2016.06.13,국방종합대학 현지지도,"리만건,유진,조용원",,,,
2016.06.10,류경김치공장 현지지도,"오수용,안정수,조용원,신만균,마원춘",,,,
2016.06.08,조선소년단 창립70돌 경축행사 대표들과 기념촬영,"최룡해,리일환,전용남",,,,
2016.06.08,조선소년단 창립70돌 경축 학생소년들의 종합공연 관람,"최룡해,리일환,전용남",,,,
2016.06.04,용악산비누공장 건설장 현지지도,"황병서,최룡해,조용원,마원춘",,,,
2016.06.04,새로 개건된 만경대소년단야영소 현지지도,"최룡해,조용원,마원춘",,,,
2016.06.02,새로 건설한 평양체육기자재공장 현지지도,"최룡해,오수용,조용원",,,,
2016.05.30,북-중 남자농구팀 친선경기 관람,"최룡해,오수용,리일환,김여정,김성남,조용원,리종무",,,,
2016.05.30,새로 건설하고 있는 보건산소공장 현지지도,"리만건,조용원,마원춘",,,,
2016.05.27,류경안과종합병원 건설장 현지지도,"김용수,조용원,마원춘",,,,
2016.05.24,귀성제염소 현지지도,"황병서,박영식,오수용,조용원",,,,
2016.05.21,완공을 앞둔 자연박물관과 중앙동물원을 현지지도,"오수용,김여정,조용원,마원춘",,,,
2016.05.19,허철용이 사업하는 기계공장 현지지도,"리만건,조용원",,,,
2016.05.15,조선인민군 제122호 양묘장 현지지도,"황병서,박영식,오수용,조용원,김경준,마원춘",,,,
2016.05.13,기계설비 전시장 참관,"황병서,박봉주,최룡해,김기남,최태복,리수용,김평해,오수용,곽범기,김영철,리만건,리철만",,,,
2016.05.13,7차 당대회 참가자들과 기념사진 촬영,"김영남,황병서,박봉주,최룡해",,,,
2016.05.10,7차 당대회 경축 평양시 군중대회 및 군중시위 참석,"김영남,황병서,박봉주,최룡해,최태복,박영식,리명수,리수용,김평해,오수용,곽범기,김영철,리만건,양형섭,로두철,김원홍,최부일,김수길,김능오,박태성,리용호,조연준,리병철,노광철",,,,
2016.05.09,7차 당대회 4일회의(폐회사),,,,,
2016.05.08,7차 당대회 3일회의 참석,,,,,
2016.05.07,7차 당대회 2일회의(사업총화보고),,,,,
2016.05.06,"7차 당대회 1일회의(개회사, 사업총화보고)",,,,,
2016.04.24,전략잠수함 탄도미사일 시험발사 현지지도,,,,,
2016.04.23,완공된 백두산영웅청년3호발전소 현지지도,"최룡해,리일환,조용원",,,,
2016.04.19,새로 건설된 민들레학습장공장 현지지도,"조용원,김여정,김웅철,마원춘",,,,
2016.04.15,금수산태양궁전 참배,,,,,
2016.04.09,새 형의 대륙간탄도미사일 대출력발동기 지상분출시험 지도,"리만건,조용원,홍영칠,김정식,김락겸",,,,
2016.04.08,리철호동무가 사업하는 기계공장 현지지도,"조용원,홍영칠,김여정,김창광",,,,
2016.04.02,용성기계연합기업소 동흥산기계공장 현지지도,"조용원,홍영칠,윤동현",,,,
2016.04.02,새형의 반항공 요격유도 무기체계의 전투성능 판정을 위한 시험사격 지도,"리만건,리병철,조용원,홍영칠,김정식,윤동현",,,,
2016.04.01,신흥기계공장 현지지도,"조용원,홍영칠,윤동현,김창광,정승일",,,,
2016.03.28,미래상점 및 종합봉사기지 현지지도,"리설주,최룡해,전일춘,조용원,김여정,김창광,김병호,마원춘",,,,
2016.03.25,조선인민군 전선대연합부대 장거리포병 대집중화력 타격연습 지도,,,,,
2016.03.24,대출력 고체로켓 발동기 지상분출 및 단계분리시험 지도,,,,,
2016.03.24,용성기계연합기업소 2월11일 공장 현지지도,홍영칠,,,,
2016.03.22,해군 제597군부대 관하 10월3일 공장 현지지도,"황병서,리명수,윤동현,조용원,김정식,마원춘",,,,
2016.03.22,신형 대구경방사포사격 현지지도,"황병서,리명수,윤동현,조용원,홍영칠,김정식",,,,
2016.03.20,인민군 상륙 및 반상륙 방어연습 지도,,,,,
2016.03.18,여명거리 건설 선포 및 강령적 과업 제시,"조용원,김여정,김창광",,,,
2016.03.15,탄도로켓 대기권 재돌입환경 모의시험 지도,"리병철,김정식,김락겸",,,,
2016.03.11,인민군 탱크병 경기대회-2016 참관,,,,,
2016.03.11,인민군 전략군의 탄도미사일 발사 훈련 참관,"황병서,리병철,홍승무,김정식,윤동현",,,,
2016.03.09,핵무기연구부문 과학자-기술자들을 만나고 핵무기 병기화 사업지도,"김락겸,홍영칠,김여정",,,,
2016.03.04,신형 대구경방사포 시험사격 지도,"최룡해,홍영칠,김정식,윤동현",,,,
2016.03.02,태성기계공장 현지지도,"조용원,김정식",,,,
2016.02.27,반탱크 유도무기 시험사격 현지지도,"황병서,리명수,윤동현,조남진,조용원,홍영칠,김창광,김정식",,,,
2016.02.23,조선인민군 군악단 창립 70주년 기념 연주회 관람,"김기남,박영식,리명수,조남진,렴철성,조경철",,,,
2016.02.21,항공 및 반항공군 전투비행사들의 검열비행훈련 판정검열,"박영식,림광일,조남진,리명수",,,,
2016.02.21,조선인민군 대연합부대들 사이의 쌍방 실동훈련 지도,,,,,
2016.02.19,미사일 발사 성공에 기여한 과학자 등과 기념사진 촬영,"리만건,박도춘",,,,
2016.02.19,2.17 미사일 발사 성공에 기여한 과학자 등에 대한 당 및 국가표창수여식 참석하고 축하연설,,,,,
2016.02.17,리설주와 함께 금수산태양궁전 방문,리설주,,,,
2016.02.15,광명성-4호 발사 성공에 기여한 성원들을위해 연회마련,"리설주,김영남,황병서,박봉주,김기남,최태복,박영식,리명수,양형섭,김원홍,곽범기,오수용,김평해,김영철,최부일,로두철,조연준",,,,
2016.02.04,"당 중앙위원회, 당 인민군위원회 연합회의 확대회의 지도",,,,,
2016.01.28,김정숙평양방직공장 현지지도,"안정수,조용원,박명순",,,,
2016.01.23,현대적으로 개건된 금컵체육인종합식료공장 현지지도,"최룡해,안정수,조용원,김여정",,,,
2016.01.20,새로 건설된 청년운동사적관 현지지도,"황병서,최룡해,리일환,조용원,김여정",,,,
2016.01.13,핵과학자들 기술자 등에게 당 및 국가표창 수여,,,,,
2016.01.11,수소탄 시험 성공에 기여한 핵과학자 등과 기념 촬영,"리만건,리병철,박도춘",,,,
2016.01.10,인민무력부 축하 방문,,,,,
2016.01.05,인민군 대연합부대들의 포사격 경기 참관,,,,,
2016.01.02,과학기술전당 준공식 참석,"황병서,박봉주,김기남,최태복,오수용,로두철",,,,
2016.01.01,2016년 새해 신년사 발표,,,,,
2016.01.01,금수산태양궁전 참배,,,,,
2015.12.31,故 김양건 영구 조문,,,,,
2015.12.29,조선인민군 제3차 수산부문열성자회의 참가자들에 대한 당 및 국가표창수여식 참가,,,,,
2015.12.24,조선인민군 제526대 연합부대와 제671대 연합부대 쌍방실동훈련 참관,,,,,
2015.12.20,1월18일기계종합공장 현지지도,"오수용,조용원,홍영칠",,,,
2015.12.17,금수산태양궁전 참배,,,,,
2015.12.16,삼천메기공장 현지지도,"황병서,박영식,서홍찬,오수용,조용원",,,,
2015.12.12,5월9일메기공장 현지지도,"오수용,조용원",,,,
2015.12.10,새로 개건된 평천혁명사적지 현지지도,"황병서,윤동현,조용원,홍영칠,장창하",,,,
2015.12.05,조선인민군 제4차 포병대회 참가자들과 기념촬영,"황병서,박영식,리영길",,,,
2015.12.05,조선인민군 제4차 포병대회 진행,"황병서,박영식,리영길",,,,
2015.12.03,인민군 122호 양묘장 현지지도,"황병서,오수용,조용원,김경준,마원춘",,,,
2015.12.01,새로 개건된 만경대학생소년궁전 시찰,"김양건,리일환,조용원,마원춘",,,,
2015.11.27,원산구두공장 현지지도,"조용원,한광상",,,,
2015.11.25,제549군부대 관하 15호수산사업소 현지지도,"서홍찬,조용원,한광상",,,,
2015.11.24,인민군 제37차 군무자예술축전에 당선된 중대군인들의 공연 관람,"서홍찬,조남진,렴철성,한광상",,,,
2015.11.23,313군부대관하 8월25일수산사업소 현지지도,"조용원,조남진,한광상",,,,
2015.11.20,새로 만든 지하전동차 시운전 참관,"박봉주,김양건,오수용,조용원,한광상",,,,
2015.11.18,대동강에 새로 설치한 이동식 그물우리양어장 현지지도,"오수용,조용원",,,,
2015.11.14,평양어린이식료품공장 현지지도,"김양건,오수용,조용원",,,,
2015.11.12,故 리을설 장례식 참가,"김영남,황병서,박봉주,김기남,박영식,리영길,김원홍,김양건,곽범기,오수용,최부일,로두철,조연준,김영대,황순희,김철만,박경숙,리영숙",,,,
2015.11.09,故 리을설 빈소 조문,"황병서,박영식,리영길",,,,
2015.11.07,조선인민군 제7차 군사교육일꾼대회 참가자들과 함께 기념촬영,"황병서,박영식,리영길",,,,
2015.11.05,조선인민군 제7차 군사교육일꾼대회 진행,"황병서,박영식,리영길",,,,
2015.11.03,서부전선 반항공부대들의 고사로켓 사격훈련 참관,"황병서,리영길,오금철,윤동현,리병철",,,,
2015.10.31,평양메기공장 현지지도,"박봉주,오수용,조용원",,,,
2015.10.28,완공된 과학기술전당 현지지도,"황병서,박봉주,김양건,오수용,조용원,김여정,마원춘",,,,
2015.10.26,백두산영웅청년발전소 완공에 기여한 일군 등과 함께 기념사진 촬영,"로두철,김영호,리종국,김용광,강종관,장혁",,,,
2015.10.23,김종태전기기관차연합기업소 방문 및 새로만든 지하전동차 요해,"오수용,조용원",,,,
2015.10.21,완공된 미래과학자거리 시찰,"황병서,김기남,김양건,오수용,조용원,마원춘",,,,
2015.10.19,당 창건 70돌 경축 청봉악단의 공연관람,"리설주,김기남,최룡해,김양건,조용원",,,,
2015.10.19,당 창건 70돌 경축 공훈국가합창단과 모란봉악단의 합동공연 관람,"리설주,최룡해,김양건",,,,
2015.10.16,인민군 제350군부대 시찰,"황병서,오금철",,,,
2015.10.14,당 창건 70주년 경축 열병식참가자들과 기념사진 촬영,"황병서,박영식,리영길",,,,
2015.10.14,당 창건 70주년 경축대표들과 기념사진 촬영,"김영남,황병서,박봉주",,,,
2015.10.10,당 창건 70돌 경축 청년전위들의 횃불행진 관람,"김영남,황병서,박봉주,김기남,최룡해,최태복,박영식,리영길,양형섭,리용무,오극렬,김원홍,김양건,곽범기,오수용,김평해,로두철,조연준,태종수",,,,
2015.10.10,당 창건 70돌 경축 열병식 및 평양시 군중시위 참석,"황병서,김기남,최룡해,최태복,박영식,리영길,김원홍,김양건,곽범기,오수용,김평해,조연준,태종수",,,,
2015.10.10,금수산태양궁전 참배,"김기남,최룡해,최태복,김양건,곽범기,오수용,김평해",,,,
2015.10.09,중국 공산당 대표단(단장 : 류윈산) 접견,"김기남,김양건",,,,
2015.10.08,나선시 선봉지구 백학동 시찰,"황병서,김기남,김양건,오수용,조용원,김여정,마원춘",,,,
2015.10.04,백두산영웅청년발전소 준공 경축 군민청년대합창공연관람,"김기남,최룡해,최태복,김양건,곽범기,오수용,김평해,리일환,리상원",,,,
2015.10.04,백두산영웅청년발전소 준공식 참석하여 연설 및 기념사진 촬영,"김기남,최룡해,최태복,김양건,곽범기,오수용,김평해,리일환,리상원,전용남",,,,
2015.10.01,정성제약종합공장 현지지도,"황병서,김양건,서홍찬,조용원",,,,
2015.09.28,새로 건조한 종합봉사선 무지개호 시찰,"황병서,김기남,김양건,오수용,조용원,홍영칠,김여정",,,,
2015.09.25,새로 건설한 창광상점 현지지도,"최룡해,김양건,리일환,조용원,홍영칠,김여정",,,,
2015.09.22,군수공업부문 생활필수품 품평회장 현지지도,"최룡해,김양건,리일환,김춘섭,조춘룡,조용원,홍영칠,김여정,정승일",,,,
2015.09.18,나선시 피해복구전투 현지지도,"황병서,리일환,조용원",,,,
2015.09.14,완공을 앞둔 백두산영웅청년발전소건설장 현지지도,"최룡해,조용원",,,,
2015.09.10,청년중앙예술선전대 공연 관람,"황병서,최룡해,박영식,리영길,김양건,리일환,전용남",,,,
2015.09.08,쿠바 국가대표단을 환영하는 모란봉악단 공훈국가합창단 축하공연 관람,"리설주,황병서,김기남,최룡해,김양건,리수용,김계관",,,,
2015.09.08,쿠바 국가대표단 접견,김양건,,,,
2015.09.04,신의주측정계기공장 현지지도,"김춘섭,조춘룡,조용원,홍영칠,윤동현",,,,
2015.09.01,새로 건설한 평양강냉이 가공공장 현지지도,"박봉주,최룡해,김양건,조용원",,,,
2015.08.28,당중앙군사위원회 확대회의 지도,,,,,
2015.08.21,당중앙군사위원회 비상확대회의 지도,,,,,
2015.08.18,대동강과수종합농장 현지지도,"최룡해,오수용,조용원",,,,
2015.08.15,금수산태양궁전 방문,,,,,
2015.08.13,810군부대 산하 1116호농장 현지지도,"황병서,박봉주,오수용,서홍찬",,,,
2015.08.10,동아시안컵에서 우승하고 귀국한 여자축구선수들을 평양국제비행장에서 마중,리설주,,,,
2015.08.06,농기계전시장 시찰,"박봉주,오수용,리철만,조용원",,,,
2015.08.04,정전협정 62돌 경축 공훈국가합창단 공연 관람,"리설주,황병서,박영식,리영길",,,,
2015.08.02,새로 건설한 평양양로원 현지지도,"오수용,김기남,리재일,김여정",,,,
2015.07.30,제4차 전국노병대회 참가자들과 함께 기념사진 촬영,"황병서,박영식,리영길,리을설,황순희,김철만,박경숙,리영숙,양형섭,리용무,오극렬,최영림,태종수",,,,
2015.07.30,인민군 항공 및 반항공군 비행지휘성원들의 전투비행술경기대회-2015지도,"황병서,박영식,리영길,서홍찬,조경철,김영철,오금철,리용주,최영호,김락겸",,,,
2015.07.28,조국해방전쟁참전 열사묘 방문,"황병서,박영식,리영길,김원홍,서홍찬,조남진,렴철성",,,,
2015.07.27,금수산태양궁전 참배,"황병서,박영식,리영길,김원홍,서홍찬,노광철,조남진,렴철성",,,,
2015.07.26,제4차 전국노병대회 진행,"황병서,박영식,리영길",,,,
2015.07.23,새로 건설한 신천박물관 현지지도,"황병서,김기남,리재일,김여정,렴철성",,,,
2015.07.20,김종태전기기관차연합기업소 현지지도,"황병서,박봉주,리재일,김여정",,,,
2015.07.20,지방인민회의 대의원선거 참가,"황병서,박봉주,리재일,김여정",,,,
2015.07.15,제43차 대사회의 참가자들과 기념사진 촬영,"리수용,김계관",,,,
2015.07.14,낙랑위생용품공장 현지지도,"김양건,리재일,김여정,조용원",,,,
2015.07.11,평양대경 김 가공공장 현지지도,"황병서,서홍찬,리재일,전일춘,조용원",,,,
2015.07.08,금수산태양궁전 참배,"황병서,박영식,리영길,김원홍,노광철,서홍찬,조남진,렴철성",,,,
2015.07.07,평양 남새과학연구소 현지지도,"리재일,조용원",,,,
2015.07.03,새로 건설한 김책공업종합대학 자동화연구소 현지지도,,,,,
2015.06.30,장천남새전문협동농장 현지지도,"황병서,최룡해,리재일",,,,
2015.06.25,완공된 평양국제비행장 항공역사 현지지도,"리설주,황병서,박봉주,김양건,리재일,리병철,김여정,조용원",,,,
2015.06.22,여성초음속전투기비행사의 비행훈련참관,"황병서,오금철,리병철",,,,
2015.06.18,고사포병 사격경기 참관,"최룡해,오일정",,,,
2015.06.18,인민군 제1차 정찰일꾼대회참자자들과 기념사진 촬영,"황병서,박영식,리영길,렴철성,김영철,김락준",,,,
2015.06.16,해군함선 구분대와 지상포병구분대들의 야간해상화력타격연습 참관,"황병서,박영식,렴철성,윤동현,박정천,홍영칠",,,,
2015.06.15,인민군 제2차 군단예술선전대 경연에 당선된 예술선전대들의 공연관람,"황병서,박영식,리영길,렴철성,윤동현,박정천",,,,
2015.06.15,인민군 해군부대들에 실전 배치되는 신형 반함선 로케트 발사훈련 참관,,,,,
2015.06.13,고사포병군관학교 시찰,"황병서,박정천",,,,
2015.06.09,조국해방전쟁사적지 현지지도,"황병서,최룡해,리재일",,,,
2015.06.06,인민군 제810군부대산하 평양생물기술연구원 현지지도,"황병서,리재일,조용원",,,,
2015.06.03,원산육아원애육원 건설에서 위훈을 세운 군인건설자들과 기념사진 촬영,"리재일,김여정,안동윤",,,,
2015.06.02,원산육아원 애육원 현지지도,"황병서,리재일,조용원",,,,
2015.06.01,조선인민군 제810군부대 산하 1116호 농장 현지지도,"황병서,조남진,리재일,조용원",,,,
2015.05.29,인민군대에서 새로 꾸리고 있는 종합양묘장 현지지도,"황병서,박영식,리재일,김여정,조용원",,,,
2015.05.26,전략잠수함탄도탄수중시험발사 성공에 기여한 과학자 등과 함께 기념촬영,"김춘섭,리병철",,,,
2015.05.24,제264대연합부대 지휘부 시찰,"황병서,장창화",,,,
2015.05.23,조선인민군 제810군부대 산하 석막대서양연어종어장과 낙산바다연어양어사업소 현지지도,"황병서,리재일,조용원,장창화",,,,
2015.05.19,대동강 자라공장 현지지도,"황병서,오수용,리재일,조용원",,,,
2015.05.17,제2차 전국청년미풍선구자대회 참가자들과 기념촬영,"황병서,최룡해,리일환,전용남",,,,
2015.05.15,제810군부대 산하 신창양어장 현지지도,"황병서,김양건,오수용,오일정,리재일,조용원,박영식,오금철",,,,
2015.05.11,조선인민군 제580군부대 산하 안변양어장 현지지도,황병서,,,,
2015.05.11,조선인민군 제580군부대 산하 7월18일소목장 현지지도,황병서,,,,
2015.05.09,전략잠수함 탄도탄수중발사 시험 참관,,,,,
2015.05.09,신포원양수산연합기업소 현지지도,"오수용,조용원,강영철",,,,
2015.05.07,용성기계연합기업소 2월11일공장 현지지도,,,,,
2015.05.03,국가우주개발국 위성관제종합지휘소 현지지도,,,,,
2015.05.01,조선인민군 제5차 훈련일군대회 참가자들과 기념사진촬영,"황병서,리영길,박영식,렴철성,조경철,방관복",,,,
2015.04.26,조선인민군 제5차 훈련일군대회 진행,"황병서,현영철,리영길,조경철,박영식,렴철성",,,,
2015.04.22,완공을 앞둔 원산 육아원 애육원 현지지도,황병서,,,,
2015.04.20,백두산선군청년발전소 건설장 현지지도,"최룡해,리재일,전용남",,,,
2015.04.19,전투비행사 백두산지구 혁명전적지답사행군대와 백두산 등반,"황병서,최룡해,김양건,리재일,리병철",,,,
2015.04.19,인민군 전투비행사 백두산지구 혁명전적지답사행군대 격려,"황병서,최룡해,김양건,리재일,리병철",,,,
2015.04.16,경비행기 개발에 참여한 과학자 등과 함께 기념사진 촬영,"김춘섭,리병철,조춘룡,장창하",,,,
2015.04.15,금수산태양궁전 참배,"황병서,리영길,김원홍,김춘삼,박영식,조경철",,,,
2015.04.14,만경대상체육경기대회 남자축구경기 관람,"리설주,최룡해,최태복,김양건,곽범기,김평해",,,,
2015.04.12,평양국제비행장 2항공역사 건설장 현지지도,"김양건,리재일,리병철,김여정,김능오",,,,
2015.04.08,평양약전기계공장 현지지도,"홍영칠,윤동현",,,,
2015.04.04,인민군 해군 제164군부대 시찰,황병서,,,,
2015.04.01,전동렬이 사업하는 기계공장 현지지도,"황병서,오금철,리병철,조춘룡,홍영칠",,,,
2015.03.27,"금산포젓갈가공공장, 수산사업소 건설장 현지지도",,,,,
2015.03.27,제 7차 전국체육인대회 참가자들과 기념사진 촬영,,,,,
2015.03.24,새로 건설한 어분사료공장 현지지도,,,,,
2015.03.20,인민군 항공 및 반항공군의 비행장 타격 및 복구훈련 지도,"황병서,현영철,조경철,리병철,홍영칠",,,,
2015.03.18,조선인민군 어구종합공장 현지지도,,,,,
2015.03.14,5월 27일 수산사업소 건설장 현지지도,,,,,
2015.03.12,신도방어중대 시찰,김여정,,,,
2015.03.09,항공 및 반항공군 제1016군부대 시찰,"황병서,조경철,리병철,손철주",,,,
2015.03.06,평양시 양로원건설장 현지지도,"황병서,최태복,오수용,리재일,조용원,김여정",,,,
2015.03.03,항공 및 반항공군 제447군부대 방문 및 식수,"황병서,오일정,한광상,리병철,손철주",,,,
2015.02.28,조국해방전쟁승리기념관에 새로 꾸린 근위부대관 시찰,"황병서,최룡해,오일정,한광상,리재일,리병철,김여정",,,,
2015.02.27,과학기술전당 건설장 현지지도,"박봉주,오수용,한광복,한광상,리재일,조용원,조태산",,,,
2015.02.23,당 중앙군사위원회 확대회의 지도,,,,,
2015.02.21,섬화력 타격 및 점령을 위한 연습을 조직지도,"황병서,현영철,리영길,오일정,한광상,리병철",,,,
2015.02.18,당 중앙위원회 정치국 확대회의 지도,,,,,
2015.02.16,금수산태양궁전 방문,"황병서,현영철,리영길,김원홍,서홍찬,김춘삼,박영식,렴철성",,,,
2015.02.15,미래과학자거리 건설장 현지지도,"황병서,한광상",,,,
2015.02.12,8건설국 건설자들과 함께 기념사진 촬영,"한광상,김용수,리문곤",,,,
2015.02.11,"원산시 육아원, 애육원, 초등학원, 중등학원 건설장 현지지도","최룡해,황병서,현영철,한광상,조용원",,,,
2015.02.08,10월3일 공장 현지지도,"윤동현,홍영칠",,,,
2015.02.07,신형 반함선 로켓 시험발사 참관,"윤동현,진철수,홍영칠",,,,
2015.02.05,평양화장품공장 현지지도,"안정수,한광상,리재일,김여정,신만균",,,,
2015.02.02,인민무력부 기공구전시회장 참관,"황병서,현영철,렴철성,조경철,김정관",,,,
2015.02.02,군정간부회의 참가자들 및 인민군대 안의 공로자들과 기념촬영,"황병서,현영철,렴철성,조경철,김정관",,,,
2015.02.02,표창휴가를 보냈던 전투비행사들과 기념촬영,,,,,
2015.01.31,군종타격훈련 조직 지도,"황병서,현영철,리영길,김영철,리병철",,,,
2015.01.31,원산구두공장 현지지도,한광상,,,,
2015.01.27,인민군 도하공격연습 지도,,,,,
2015.01.24,"추격기, 폭격기연대들의 비행전투 훈련 지도","황병서,리영길,오금철,리병철",,,,
2015.01.21,류원신발공장 현지지도,"안정수,리재일,김여정",,,,
2015.01.18,금컵 체육인종합식료공장 현지지도,"최룡해,리일환,한광상,김여정",,,,
2015.01.16,강동정밀기계공장 현지지도,"한광상,리병철,김여정,홍영칠",,,,
2015.01.13,인민군 항공 및 반항공군 지휘부 시찰,"황병서,현영철,한광상,리병철,김여정",,,,
2015.01.10,새로 건설한 평양시 버섯공장 현지지도,"황병서,한광상,리재일,김여정",,,,
2015.01.07,인민군 비반충포사격 경기대회 지도,"황병서,현영철,윤동현,김명식,최영호,오일정,한광상,리병철,김여정",,,,
2015.01.02,평양육아원애육원 방문,"한광상,리재일,김여정",,,,
2015.01.01,2015년 새해 신년사 발표,,,,,
2015.01.01,금수산태양궁전 방문,"황병서,현영철,리영길,김원홍,서홍찬,김춘삼,박영식,렴철성,조경철",,,,
2014.12.30,제851군부대관하 여성 방사포병구분대들 포사격훈련지도,"최룡해,황병서,현영철,김영철,오금철,김명식,최영호,김영복,오일정,한광상,리병철,김여정",,,,
2014.12.28,수산부문과 후방일꾼들의 국가표창수여식 참가,"황병서,현영철,서홍찬,박영식,렴철성,조경철",,,,
2014.12.26,인민군 6월8일농장에 새로 건설한 남새온실 현지지도,"황병서,현영철,박영식,한광상,리재일",,,,
2014.12.25,군 2차 후방일꾼대회 참가자들과 기념촬영,"황병서,현영철,리영길,김정각,서홍찬,박영식,렴철성,조경철",,,,
2014.12.24,금수산태양궁전 방문,"황병서,현영철,리영길,김원홍,김정각,서홍찬,박영식,렴철성",,,,
2014.12.23,평양메기공장 현지지도,"최룡해,안정수,리재일",,,,
2014.12.20,김정숙평양방직공장 현지지도,"최룡해,안정수,한광상,리재일,박명순",,,,
2014.12.17,김정일 사망 3주기 중앙추모대회,"김영남,최룡해,박봉주,황병서,김기남,최태복,현영철,리영길,박도춘,양형섭,최영림,강석주,리용무,오극렬,현철해,김원홍,김양건,김평해,곽범기,오수용,최부일,로두철,조연준,태종수,김영대",,,,
2014.12.17,금수산태양궁전 방문,"리설주,김영남,최룡해,박봉주,황병서,김기남,최태복,현영철,리영길,박도춘,양형섭,강석주,김원홍,김양건,김평해,곽범기,오수용,최부일,로두철,조연준",,,,
2014.12.16,평양 어린이 식료품공장 현지지도,"최룡해,황병서,안정수,한광상,리재일,조용원",,,,
2014.12.13,해군 제189군부대 시찰,"최룡해,황병서,리영길,오일정,한광상",,,,
2014.12.09,군인가족예술소조종합공연 관람 및 연설,"리설주,황병서,서홍찬,렴철성",,,,
2014.12.09,제2차 군인가족열성자대회 참가자들과 기념촬영,"황병서,현영철,서홍찬,박영식,렴철성,조경철",,,,
2014.12.08,인민군 항공 및 반항공군 제 458군부대 시찰,"황병서,오일정,한광상,리병철",,,,
2014.12.06,5월9일메기공장 현지지도,한광상,,,,
2014.12.05,인민군 제1313군부대 시찰,"황병서,리영길,김영철,최귀헌",,,,
2014.12.02,인민군 제963군부대직속 포병중대 시찰,"황병서,박정천",,,,
2014.11.28,항공 및 반항공군 여성 추격기비행사 비행훈련 지도,"황병서,조경철,오금철,오일정,한광상",,,,
2014.11.27,조선 4.26만화영화촬영소 현지지도,"김기남,리재일,김여정,김의순",,,,
2014.11.25,신천박물관 현지지도,"김기남,한광상,리재일,김여정,박명철",,,,
2014.11.23,인민군 연합합동훈련 지도,"황병서,리영길,오일정,한광상",,,,
2014.11.21,조선인민군 항공 및 반항공군 제991군부대 시찰,"황병서,리병철,서홍찬,박정천",,,,
2014.11.19,제567군부대 산하 18호 수산사업소 현지지도,"황병서,서홍찬,윤동현,리병철,박정천,김양건,오일정,한광상,박명철,리재일,김여정",,,,
2014.11.17,인민군 제534군부대 산하 종합식료 가공공장 현지지도,"황병서,서홍찬",,,,
2014.11.15,조선인민군 2월20일공장 현지지도,"최룡해,황병서,서홍찬,한광상,리재일",,,,
2014.11.11,중앙양묘장 현지지도,"최룡해,최태복,오수용,한광상,리재일",,,,
2014.11.08,정성제약종합공장 현지지도,"최룡해,황병서,서홍찬,한광상,허환철",,,,
2014.11.05,"인민군 제3차 대대장, 대대정치지도원 대회 참가자들과 기념사진 촬영","황병서,현영철,리영길,김원홍,변인선,서홍찬,박영식,렴철성,조경철",,,,
2014.11.05,"인민군 제3차 대대장, 대대정치지도원 대회 참석",,,,,
2014.11.01,평양국제비행장 건설장 현지지도,"박봉주,황병서,김능오,마원춘",,,,
2014.10.30,항공 및 반항공군 전투비행사들의 검열비행훈련 지도,"최룡해,황병서,오일정,한광상",,,,
2014.10.29,여자축구경기 관람,"최룡해,황병서,최태복,현영철,박도춘,강석주,김양건,김평해,곽범기,오수용,로두철,조연준,김수길",,,,
2014.10.29,군인식당 현지지도,"리설주,최룡해,박봉주,김기남,김양건,한광상,리재일,박명철,마원춘",,,,
2014.10.26,완공된 평양육아원과 애육원 현지지도,"최룡해,김기남,한광상,리재일",,,,
2014.10.24,인민군 연합부대사이의 쌍방 실동훈련지도,"최룡해,오일정",,,,
2014.10.22,완공된 연풍과학자 휴양소 현지지도,"황병서,최룡해,한광상,박명철,김정관",,,,
2014.10.19,전투비행사들 훈련 지도,"황병서,최룡해,오일정,한광상",,,,
2014.10.19,금메달을 획득한 선수와 감독들 면담,"리설주,황병서,최룡해,오일정,한광상,박명철,김영훈,오금철,리종무",,,,
